Category: All categories,
,
Week,Bitcoin: (Worldwide)
1/1/2017,20
8/1/2017,21
15/1/2017,18
22/1/2017,18
29/1/2017,18
5/2/2017,17
12/2/2017,20
19/2/2017,20
26/2/2017,21
5/3/2017,23
12/3/2017,23
19/3/2017,21
26/3/2017,22
2/4/2017,22
9/4/2017,22
16/4/2017,21
23/4/2017,23
30/4/2017,25
7/5/2017,29
14/5/2017,35
21/5/2017,47
28/5/2017,43
4/6/2017,40
11/6/2017,43
18/6/2017,44
25/6/2017,42
2/7/2017,42
9/7/2017,45
16/7/2017,43
23/7/2017,44
30/7/2017,33
6/8/2017,24
13/8/2017,29
20/8/2017,28
27/8/2017,28
3/9/2017,28
10/9/2017,29
17/9/2017,26
24/9/2017,23
1/10/2017,23
8/10/2017,28
15/10/2017,31
22/10/2017,33
29/10/2017,41
5/11/2017,43
12/11/2017,41
19/11/2017,43
26/11/2017,72
3/12/2017,94
10/12/2017,100
17/12/2017,97
24/12/2017,66
31/12/2017,60
7/1/2018,62
14/1/2018,62
21/1/2018,48
28/1/2018,45
4/2/2018,42
11/2/2018,32
18/2/2018,31
25/2/2018,36
4/3/2018,29
11/3/2018,28
18/3/2018,24
25/3/2018,23
1/4/2018,21
