# ----------------------------------------,,,,
# Alexa Internet,,,,
# Competitive Intelligence,,,,
# Historical Traffic Trends: Pageviews Percent,,,,
# 4/22/2018 (MM/DD/YYYY UTC),,,,
# ----------------------------------------,,,,
Date,Metric,bitfinex.com,binance.com,coinbase.com
4/22/2016,Pageviews %,0.0000014,,1.2E-05
4/23/2016,Pageviews %,0.0000014,,0.0000095
4/24/2016,Pageviews %,1.5E-06,,0.000015
4/25/2016,Pageviews %,1.5E-06,,0.000009
4/26/2016,Pageviews %,0.0000016,,0.000018
4/27/2016,Pageviews %,0.0000023,,0.000011
4/28/2016,Pageviews %,0.0000017,,0.0000166
4/29/2016,Pageviews %,7.80E-07,,1.2E-05
4/30/2016,Pageviews %,0.0000021,,0.000011
5/1/2016,Pageviews %,9.40E-07,,0.000018
5/2/2016,Pageviews %,1.3E-06,,0.00001
5/3/2016,Pageviews %,8.80E-07,,0.00001
5/4/2016,Pageviews %,8.60E-07,,0.0000097
5/5/2016,Pageviews %,0.0000012,,0.0000097
5/6/2016,Pageviews %,0.0000014,,0.0000148
5/7/2016,Pageviews %,0.0000016,,0.000014
5/8/2016,Pageviews %,0.0000018,,0.000015
5/9/2016,Pageviews %,1.3E-06,,0.0000072
5/10/2016,Pageviews %,8.00E-07,,0.0000095
5/11/2016,Pageviews %,9.00E-07,,0.000009
5/12/2016,Pageviews %,9.30E-07,,0.0000079
5/13/2016,Pageviews %,0.0000011,,0.0000141
5/14/2016,Pageviews %,0.0000011,,0.000014
5/15/2016,Pageviews %,0.0000012,,0.00001
5/16/2016,Pageviews %,0.0000011,,0.0000096
5/17/2016,Pageviews %,0.000002,,1.2E-05
5/18/2016,Pageviews %,0.0000027,,0.000014
5/19/2016,Pageviews %,0.0000017,,0.0000144
5/20/2016,Pageviews %,0.0000014,,0.000016
5/21/2016,Pageviews %,7.90E-07,,0.000015
5/22/2016,Pageviews %,1.5E-06,,0.000016
5/23/2016,Pageviews %,0.0000011,,0.000016
5/24/2016,Pageviews %,1.3E-06,,0.00001
5/25/2016,Pageviews %,1.3E-06,,0.0000135
5/26/2016,Pageviews %,1.3E-06,,0.0000174
5/27/2016,Pageviews %,1.5E-06,,0.0000223
5/28/2016,Pageviews %,0.0000037,,2.11E-05
5/29/2016,Pageviews %,0.0000044,,0.000014
5/30/2016,Pageviews %,3E-06,,0.0000167
5/31/2016,Pageviews %,0.0000031,,1.2E-05
6/1/2016,Pageviews %,0.000001,,0.0000161
6/2/2016,Pageviews %,0.0000021,,0.000013
6/3/2016,Pageviews %,0.0000019,,0.0000186
6/4/2016,Pageviews %,0.0000023,,0.000014
6/5/2016,Pageviews %,0.0000016,,0.0000196
6/6/2016,Pageviews %,0.000002,,0.0000167
6/7/2016,Pageviews %,2.6E-06,,0.00002
6/8/2016,Pageviews %,0.0000027,,0.0000145
6/9/2016,Pageviews %,0.0000017,,0.0000152
6/10/2016,Pageviews %,0.0000017,,0.0000168
6/11/2016,Pageviews %,0.0000017,,0.000018
6/12/2016,Pageviews %,0.0000033,,0.0000255
6/13/2016,Pageviews %,0.0000028,,0.0000256
6/14/2016,Pageviews %,0.0000027,,0.000014
6/15/2016,Pageviews %,0.0000027,,0.0000232
6/16/2016,Pageviews %,0.0000033,,2.4E-05
6/17/2016,Pageviews %,0.0000035,,0.0000259
6/18/2016,Pageviews %,0.0000027,,0.0000284
6/19/2016,Pageviews %,0.0000027,,0.000026
6/20/2016,Pageviews %,0.0000028,,0.000015
6/21/2016,Pageviews %,0.0000043,,0.0000216
