Date,BTC Price,BTC Add
1/1/2017,966.61,449831
8/1/2017,908.1,503340
15/1/2017,815.85,446468
22/1/2017,924.02,484668
29/1/2017,919.43,461291
5/2/2017,1031.1,500098
12/2/2017,1000,474676
19/2/2017,1059.8,510385
26/2/2017,1153,561871
5/3/2017,1267,489871
12/3/2017,1172.1,518975
19/3/2017,1224.4,505650
26/3/2017,956.4,490876
2/4/2017,1109.4,502790
9/4/2017,1218,468193
16/4/2017,1215.1,520821
23/4/2017,1345.3,530089
30/4/2017,1441.7,634025
7/5/2017,1623.6,677421
14/5/2017,1815.7,623293
21/5/2017,2037.9,646325
28/5/2017,2033,651462
4/6/2017,2476.2,601583
11/6/2017,2936.6,516474
18/6/2017,2479.1,477378
25/6/2017,2462.2,469727
2/7/2017,2437.2,440616
9/7/2017,2496.9,451048
16/7/2017,1950,446599
23/7/2017,2727.8,433135
30/7/2017,2730,416822
6/8/2017,3250.2,463849
13/8/2017,4109,530699
20/8/2017,4139.9,535350
27/8/2017,4338,472784
3/9/2017,4563,536081
10/9/2017,4262.7,452503
17/9/2017,3701,486762
24/9/2017,3681,427804
1/10/2017,4407,467807
8/10/2017,4627.1,505784
15/10/2017,5718.2,594481
22/10/2017,5910,606416
29/10/2017,6184.6,440621
5/11/2017,7321.8,588058
12/11/2017,6302.7,455431
19/11/2017,7773.3,614839
26/11/2017,8191.6,697525
3/12/2017,10876,683882
10/12/2017,14660,877574
17/12/2017,19210,819304
24/12/2017,14036,729637
31/12/2017,12385,815099
7/1/2018,17175,889098
14/1/2018,14197,652049
21/1/2018,12731,559711
28/1/2018,11849,541699
4/2/2018,8249,436196
11/2/2018,8069,421547
18/2/2018,10460,401860
25/2/2018,9534.5,355221
4/3/2018,11534,416966
11/3/2018,9485.2,354482
18/3/2018,8147,352698
25/3/2018,8481,360666
1/4/2018,6806.1,449629
